skill_name,death_prob_bucket,avg_shapley_value,sample_count
Aggressive_Deception,0-1/6,-0.024000,750
Aggressive_Deception,1/6-1/3,-0.018621,2900
Aggressive_Deception,1/3-1/2,0.013333,150
Aggressive_Deception,>1/2,0.000000,100
Calculated_Bluff,0-1/6,-0.024390,2050
Calculated_Bluff,1/6-1/3,-0.015116,4300
Calculated_Bluff,1/3-1/2,-0.190000,600
Calculated_Bluff,>1/2,-0.293333,150
Logical_Skepticism,0-1/6,-0.040563,10650
Logical_Skepticism,1/6-1/3,-0.051138,16250
Logical_Skepticism,1/3-1/2,-0.103448,1450
Logical_Skepticism,>1/2,-0.108889,450
Strategic_Drain,0-1/6,0.068710,3100
Strategic_Drain,1/6-1/3,0.041667,7200
Strategic_Drain,1/3-1/2,0.070000,500
Strategic_Drain,>1/2,0.013333,150
Truthful_Action,0-1/6,0.092700,10000
Truthful_Action,1/6-1/3,0.068771,27250
Truthful_Action,1/3-1/2,0.085957,2350
Truthful_Action,>1/2,0.174286,700
